LSOA code (2011);LSOA name (2011);Local Authority District code (2013);Local Authority District name (2013);IMD Score;IMD Rank (where 1 is most deprived);IMD Decile (where 1 is most deprived 10% of LSOAs);Income Score (rate);Income Rank (where 1 is most deprived);Income Decile (where 1 is most deprived 10% of LSOAs);Employment Score (rate);Employment Rank (where 1 is most deprived);Employment Decile (where 1 is most deprived 10% of LSOAs);Education, Skills and Training Score;Education, Skills and Training Rank (where 1 is most deprived);Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs);Health Deprivation and Disability Score;Health Deprivation and Disability Rank (where 1 is most deprived);Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs);Crime Score;Crime Rank (where 1 is most deprived);Crime Decile (where 1 is most deprived 10% of LSOAs);Barriers to Housing and Services Score;Barriers to Housing and Services Rank (where 1 is most deprived);Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs);Living Environment Score;Living Environment Rank (where 1 is most deprived);Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000608;Brent 013D;E09000005;Brent;25,0;10875;4;0,1;13195;5;0,1;17776;6;13,9;18265;6;-0,2;19296;6;1,1;2501;1;41,0;1871;1;31,3;8075;3
E01000609;Brent 016C;E09000005;Brent;22,0;12781;4;0,1;13514;5;0,1;18950;6;14,8;17603;6;-0,6;24838;8;0,6;7042;3;42,7;1454;1;28,1;9624;3
E01000610;Brent 019A;E09000005;Brent;27,1;9688;3;0,2;10700;4;0,1;13311;5;13,8;18394;6;0,2;13798;5;0,9;4638;2;44,5;1101;1;21,0;13959;5
E01000611;Brent 016D;E09000005;Brent;22,0;12736;4;0,1;14693;5;0,1;12337;4;12,6;19440;6;-0,1;18238;6;0,2;13045;4;39,6;2226;1;25,3;11196;4
E01000612;Brent 019B;E09000005;Brent;23,2;11932;4;0,2;10665;4;0,1;16191;5;12,7;19355;6;-0,3;20240;7;0,6;7304;3;40,7;1946;1;23,3;12404;4
E01000613;Brent 013E;E09000005;Brent;27,5;9458;3;0,2;10338;4;0,1;13767;5;17,2;15750;5;-0,2;19245;6;-0,3;20861;7;53,4;82;1;36,2;6063;2
E01000615;Brent 017B;E09000005;Brent;19,8;14460;5;0,1;15612;5;0,1;19665;6;13,6;18550;6;-0,5;23692;8;0,0;16881;6;47,5;616;1;21,5;13644;5
E01000616;Brent 020A;E09000005;Brent;21,6;13026;4;0,1;15023;5;0,1;18342;6;11,3;20637;7;-0,2;19408;6;0,7;6839;3;38,4;2628;1;34,3;6863;3
E01000617;Brent 017C;E09000005;Brent;23,4;11795;4;0,1;12511;4;0,1;15609;5;14,9;17508;6;-0,6;24902;8;1,0;3156;1;36,5;3344;2;28,1;9646;3
E01000618;Brent 017D;E09000005;Brent;23,7;11657;4;0,2;10301;4;0,1;15203;5;21,4;12845;4;-0,3;20414;7;0,7;6570;3;35,1;3986;2;22,3;13103;4
E01000619;Brent 017E;E09000005;Brent;20,6;13761;5;0,1;15792;5;0,1;15076;5;21,8;12629;4;-0,3;20156;7;0,4;9923;4;35,8;3632;2;18,4;15794;5
E01000620;Brent 020B;E09000005;Brent;20,8;13582;5;0,1;13239;5;0,1;17468;6;21,4;12841;4;-0,5;23550;8;0,3;11883;4;35,5;3781;2;28,6;9369;3
E01000621;Brent 020C;E09000005;Brent;25,1;10821;4;0,1;14369;5;0,1;18165;6;23,3;11750;4;0,1;14072;5;0,6;8074;3;43,2;1351;1;32,0;7791;3
E01000622;Brent 010D;E09000005;Brent;29,7;8388;3;0,2;10525;4;0,1;13879;5;19,2;14328;5;-0,2;19225;6;1,1;2809;1;45,8;859;1;36,0;6166;2
E01000623;Brent 005C;E09000005;Brent;15,8;17785;6;0,1;17717;6;0,1;21934;7;15,3;17229;6;-0,6;24422;8;0,5;9621;3;29,7;7020;3;23,1;12552;4
E01000624;Brent 005D;E09000005;Brent;17,2;16597;6;0,1;13810;5;0,1;20497;7;14,9;17552;6;-0,8;26387;9;0,3;11675;4;35,6;3748;2;15,1;18475;6
E01000625;Brent 009E;E09000005;Brent;21,6;12976;4;0,2;12389;4;0,1;17259;6;17,9;15206;5;-0,4;21915;7;0,7;7011;3;36,4;3384;2;23,1;12560;4
E01000626;Brent 010E;E09000005;Brent;41,0;4223;2;0,3;3060;1;0,2;4738;2;25,0;10884;4;0,6;8772;3;0,9;4576;2;43,7;1238;1;22,0;13320;5
E01000627;Brent 014E;E09000005;Brent;40,6;4358;2;0,3;4206;2;0,2;6762;3;33,5;7310;3;0,1;14511;5;1,0;3146;1;44,1;1168;1;41,2;4351;2
E01000628;Brent 014F;E09000005;Brent;33,9;6566;2;0,2;6074;2;0,2;8094;3;17,8;15316;5;0,0;15753;5;1,0;3255;1;42,4;1540;1;32,8;7441;3
E01000629;Brent 005E;E09000005;Brent;19,1;15004;5;0,1;14409;5;0,1;18386;6;18,7;14673;5;-0,5;23328;8;0,5;8563;3;34,5;4216;2;17,2;16719;6
E01000630;Brent 026E;E09000005;Brent;30,9;7804;3;0,2;7212;3;0,1;9873;4;16,0;16639;6;-0,1;18178;6;0,9;4197;2;46,3;781;1;23,3;12453;4
E01000631;Brent 019C;E09000005;Brent;18,1;15814;5;0,1;14842;5;0,1;22192;7;11,8;20178;7;-0,7;25625;8;0,5;8458;3;36,4;3403;2;26,4;10595;4
E01000632;Brent 029E;E09000005;Brent;19,3;14797;5;0,1;17023;6;0,1;24438;8;19,0;14527;5;-0,7;25814;8;0,9;4345;2;35,0;4006;2;29,8;8738;3
E01000633;Brent 019D;E09000005;Brent;24,5;11113;4;0,1;14068;5;0,1;20205;7;18,1;15099;5;-0,5;23630;8;1,1;2283;1;42,7;1463;1;31,2;8149;3
E01000634;Brent 019E;E09000005;Brent;22,7;12295;4;0,2;11953;4;0,1;17672;6;16,0;16718;6;-0,6;23958;8;0,2;12811;4;47,4;624;1;23,1;12587;4
E01000635;Brent 020D;E09000005;Brent;29,1;8643;3;0,2;8846;3;0,1;13835;5;14,3;17952;6;-0,5;23321;8;1,1;2288;1;42,5;1512;1;38,6;5162;2
E01000636;Brent 020E;E09000005;Brent;19,3;14769;5;0,1;14832;5;0,1;17647;6;16,3;16450;6;-0,6;24262;8;0,3;11725;4;33,7;4597;2;31,2;8140;3
E01000637;Brent 022B;E09000005;Brent;27,5;9469;3;0,2;7474;3;0,1;9940;4;15,1;17366;6;-0,1;18332;6;0,4;9830;3;34,5;4240;2;36,8;5848;2
E01000638;Brent 024A;E09000005;Brent;33,5;6732;3;0,2;8667;3;0,1;12876;4;20,6;13311;5;0,0;16113;5;1,0;3673;2;45,4;918;1;52,5;1840;1
E01000639;Brent 022C;E09000005;Brent;21,1;13391;5;0,1;16857;6;0,1;20059;7;9,8;22059;7;-0,3;20299;7;1,0;3572;2;32,0;5552;2;42,4;4022;2
E01000640;Brent 024B;E09000005;Brent;33,8;6601;3;0,2;9126;3;0,1;12581;4;24,1;11316;4;0,0;15948;5;0,7;6515;2;47,0;658;1;56,7;1252;1
E01000641;Brent 024C;E09000005;Brent;33,3;6793;3;0,2;5827;2;0,1;9445;3;23,6;11574;4;0,0;16638;6;0,9;4293;2;39,0;2418;1;37,9;5424;2
E01000642;Brent 022D;E09000005;Brent;29,7;8373;3;0,2;8847;3;0,1;12878;4;14,2;18056;6;0,3;12356;4;0,6;7867;3;35,2;3949;2;55,8;1361;1
E01000643;Brent 024D;E09000005;Brent;54,4;1547;1;0,4;1472;1;0,3;1904;1;24,2;11251;4;1,3;2711;1;1,3;1598;1;41,1;1843;1;36,6;5909;2
E01000644;Brent 022E;E09000005;Brent;26,9;9761;3;0,2;7627;3;0,1;12567;4;12,7;19378;6;-0,1;17448;6;0,6;7422;3;36,5;3350;2;35,8;6238;2
E01033424;Brent 017F;E09000005;Brent;25,8;10426;4;0,2;9790;3;0,1;16727;6;9,6;22289;7;-0,2;19339;6;0,8;5301;2;48,5;470;1;22,5;12985;4
E01033455;Brent 031G;E09000005;Brent;49,6;2293;1;0,3;4035;2;0,2;4980;2;40,2;5302;2;-0,1;17355;6;1,5;757;1;45,7;882;1;68,7;249;1
E01033456;Brent 027F;E09000005;Brent;54,5;1534;1;0,4;369;1;0,3;1137;1;26,3;10241;4;0,4;11122;4;0,6;7882;3;42,7;1448;1;36,0;6169;2
E01033457;Brent 017G;E09000005;Brent;17,1;16629;6;0,1;20552;7;0,1;25599;8;7,6;24367;8;-0,5;22800;7;1,0;3713;2;31,9;5588;2;35,0;6538;2
E01033463;Brent 003G;E09000005;Brent;15,4;18192;6;0,1;15885;5;0,1;20235;7;8,1;23803;8;-0,9;28125;9;0,0;16017;5;38,2;2675;1;15,5;18087;6
E01033464;Brent 010F;E09000005;Brent;30,9;7812;3;0,3;5230;2;0,2;7945;3;30,0;8593;3;-0,6;24336;8;0,6;7396;3;36,6;3293;2;21,3;13740;5
E01033485;Brent 031H;E09000005;Brent;43,1;3631;2;0,3;4910;2;0,2;4978;2;27,9;9458;3;0,0;16480;6;1,4;1169;1;47,2;636;1;43,7;3651;2
E01000645;Bromley 007A;E09000006;Bromley;3,2;31974;10;0,0;32792;10;0,0;32674;10;0,6;32505;10;-2,1;32576;10;-0,5;23624;8;21,5;14914;5;10,3;23243;8
E01000646;Bromley 016A;E09000006;Bromley;9,3;25139;8;0,1;21219;7;0,1;23021;8;2,1;30878;10;-0,7;25591;8;-0,2;19252;6;21,7;14684;5;17,6;16426;6
E01000647;Bromley 016B;E09000006;Bromley;6,8;28173;9;0,1;24404;8;0,0;28055;9;4,9;27442;9;-1,4;31123;10;0,0;16742;6;18,5;18632;6;15,0;18530;6
E01000648;Bromley 016C;E09000006;Bromley;6,6;28427;9;0,1;26092;8;0,1;26535;9;4,0;28618;9;-0,9;27582;9;-0,3;20597;7;18,6;18578;6;15,4;18152;6
E01000649;Bromley 007B;E09000006;Bromley;10,0;24181;8;0,1;21041;7;0,1;25339;8;2,0;30948;10;-0,9;27519;9;-0,2;18870;6;32,4;5332;2;11,0;22480;7
E01000650;Bromley 022A;E09000006;Bromley;11,1;22910;7;0,1;21370;7;0,1;24791;8;1,3;31782;10;-1,1;29274;9;0,2;12950;4;36,1;3524;2;8,0;25872;8
E01000651;Bromley 020A;E09000006;Bromley;10,3;23790;8;0,1;20442;7;0,1;27486;9;2,1;30800;10;-0,5;23761;8;-0,4;21823;7;33,5;4711;2;12,7;20672;7
E01000652;Bromley 022B;E09000006;Bromley;5,0;30316;10;0,0;28841;9;0,0;28562;9;4,1;28422;9;-1,3;30382;10;0,0;16206;5;16,8;20717;7;7,6;26342;9
E01000653;Bromley 016D;E09000006;Bromley;8,5;26162;8;0,1;24905;8;0,1;24562;8;5,4;26928;9;-0,4;22568;7;-0,9;28396;9;28,1;8316;3;9,5;24137;8
E01000654;Bromley 039A;E09000006;Bromley;8,6;25924;8;0,0;28215;9;0,1;26943;9;20,4;13505;5;-1,0;28338;9;0,1;15664;5;21,3;15238;5;8,3;25478;8
E01000655;Bromley 039B;E09000006;Bromley;10,8;23230;8;0,1;21722;7;0,1;25880;8;18,1;15079;5;-1,2;29873;10;-0,3;20719;7;31,9;5608;2;4,7;29578;10
E01000656;Bromley 039C;E09000006;Bromley;6,9;28095;9;0,0;28788;9;0,0;28262;9;14,9;17555;6;-1,1;29364;9;0,3;11162;4;12,4;26146;8;7,7;26187;8
E01000657;Bromley 039D;E09000006;Bromley;12,2;21563;7;0,1;18348;6;0,1;19519;6;18,7;14681;5;-0,8;26315;9;0,1;14504;5;18,4;18770;6;8,7;24978;8
E01000658;Bromley 042A;E09000006;Bromley;7,3;27660;9;0,1;22590;7;0,1;25893;8;10,6;21317;7;-1,1;28961;9;-0,2;19786;7;17,9;19410;6;5,3;28914;9
E01000659;Bromley 039E;E09000006;Bromley;9,4;24907;8;0,1;20417;7;0,1;21954;7;15,6;16991;6;-0,8;26268;8;-0,3;21656;7;18,8;18346;6;4,0;30341;10
E01000661;Bromley 026A;E09000006;Bromley;50,2;2184;1;0,4;1058;1;0,2;3123;1;33,0;7498;3;1,2;2990;1;0,7;6527;2;42,6;1489;1;19,2;15203;5
E01000662;Bromley 026B;E09000006;Bromley;18,1;15760;5;0,1;13483;5;0,1;12395;4;19,5;14145;5;-0,3;20271;7;0,0;17140;6;26,2;9870;4;10,9;22607;7
E01000663;Bromley 026C;E09000006;Bromley;18,9;15170;5;0,2;11328;4;0,1;11236;4;13,9;18338;6;-0,4;21750;7;-0,1;18593;6;30,1;6755;3;8,4;25368;8
E01000664;Bromley 026D;E09000006;Bromley;18,4;15545;5;0,1;14250;5;0,1;15679;5;16,4;16319;5;-0,6;24165;8;0,2;13619;5;37,4;2975;1;9,2;24450;8
E01000665;Bromley 033A;E09000006;Bromley;12,2;21513;7;0,1;17343;6;0,1;18389;6;9,7;22152;7;-0,9;28045;9;-0,5;23992;8;27,2;9037;3;13,1;20280;7
E01000666;Bromley 033B;E09000006;Bromley;4,7;30605;10;0,0;30290;10;0,0;30458;10;5,9;26316;9;-1,7;32119;10;-0,3;20721;7;19,5;17410;6;11,5;21888;7
E01000667;Bromley 033C;E09000006;Bromley;6,0;29178;9;0,0;31351;10;0,0;30427;10;5,0;27352;9;-1,8;32273;10;-0,2;20309;7;28,1;8270;3;11,8;21583;7
E01000668;Bromley 020B;E09000006;Bromley;12,1;21632;7;0,1;18063;6;0,1;20781;7;8,2;23767;8;-0,5;22744;7;0,3;11573;4;15,2;22742;7;20,0;14617;5
E01000669;Bromley 020C;E09000006;Bromley;8,9;25534;8;0,1;20826;7;0,1;22311;7;7,4;24614;8;-0,7;26109;8;-0,3;20968;7;15,7;22155;7;15,8;17824;6
E01000670;Bromley 018A;E09000006;Bromley;7,3;27655;9;0,0;29166;9;0,0;30230;10;0,9;32164;10;-1,9;32414;10;-0,1;17738;6;27,6;8698;3;23,7;12186;4
E01000671;Bromley 020D;E09000006;Bromley;11,0;23067;8;0,1;18934;6;0,1;23275;8;2,7;30103;10;-0,8;26710;9;-0,1;18551;6;26,8;9339;3;19,8;14784;5
E01000672;Bromley 011A;E09000006;Bromley;8,5;26102;8;0,1;25128;8;0,1;26465;9;3,6;29083;9;-1,0;28807;9;0,3;12099;4;25,1;10943;4;11,8;21646;7
E01000673;Bromley 011B;E09000006;Bromley;9,1;25303;8;0,1;22652;7;0,1;24290;8;3,7;28958;9;-1,0;28520;9;0,0;16199;5;27,2;8976;3;9,7;23845;8
E01000674;Bromley 008A;E09000006;Bromley;13,6;20072;7;0,1;16602;6;0,1;21027;7;6,0;26177;8;-0,4;22221;7;0,3;11384;4;22,5;13828;5;22,3;13122;4
E01000675;Bromley 018B;E09000006;Bromley;13,1;20532;7;0,1;20032;7;0,1;18139;6;2,2;30760;10;-0,9;28075;9;0,2;13572;5;27,6;8681;3;25,8;10936;4
E01000676;Bromley 008B;E09000006;Bromley;26,2;10169;4;0,2;8014;3;0,1;12610;4;12,7;19370;6;0,0;16787;6;0,8;5291;2;26,7;9379;3;41,9;4161;2
E01000677;Bromley 018C;E09000006;Bromley;14,3;19350;6;0,1;21654;7;0,1;27480;9;4,1;28501;9;-0,9;28071;9;1,0;3581;2;29,5;7134;3;28,8;9248;3
E01000678;Bromley 016E;E09000006;Bromley;9,9;24371;8;0,1;22571;7;0,1;21870;7;3,8;28772;9;-0,9;27274;9;-0,7;26038;8;28,6;7872;3;17,7;16353;5
E01000679;Bromley 020E;E09000006;Bromley;9,1;25363;8;0,1;22144;7;0,1;22106;7;6,1;26083;8;-0,7;26176;8;-0,1;18444;6;17,0;20551;7;17,5;16506;6
E01000680;Bromley 037A;E09000006;Bromley;8,6;25936;8;0,0;28155;9;0,0;28925;9;5,9;26266;8;-1,6;31614;10;-0,1;17797;6;35,4;3832;2;10,1;23444;8
E01000681;Bromley 035A;E09000006;Bromley;2,9;32204;10;0,0;31116;10;0,0;31128;10;4,7;27664;9;-1,6;31812;10;-0,9;28828;9;17,0;20518;7;7,0;26991;9
E01000682;Bromley 035B;E09000006;Bromley;3,0;32080;10;0,0;31473;10;0,0;29883;10;5,4;26836;9;-1,0;28493;9;-1,0;29223;9;12,3;26272;8;8,7;25032;8
E01000683;Bromley 035C;E09000006;Bromley;12,8;20857;7;0,1;16501;6;0,1;18500;6;6,6;25498;8;-0,7;26140;8;-0,6;24525;8;28,2;8202;3;17,5;16493;6
E01000684;Bromley 035D;E09000006;Bromley;2,9;32202;10;0,0;30860;10;0,0;30516;10;2,6;30298;10;-1,5;31539;10;-0,7;26919;9;17,6;19755;7;5,8;28437;9
E01000685;Bromley 037B;E09000006;Bromley;13,7;19965;7;0,1;15615;5;0,1;17233;6;17,0;15880;5;-0,5;23436;8;0,3;11330;4;16,3;21385;7;5,0;29319;9
E01000686;Bromley 037C;E09000006;Bromley;6,9;28089;9;0,1;20656;7;0,1;26105;8;4,2;28307;9;-1,0;28718;9;-0,3;20996;7;16,8;20739;7;9,0;24671;8
E01000687;Bromley 037D;E09000006;Bromley;5,8;29432;9;0,1;25352;8;0,1;25788;8;4,4;28086;9;-1,2;29981;10;-0,6;25163;8;13,2;25198;8;16,4;17346;6
E01000688;Bromley 037E;E09000006;Bromley;2,4;32451;10;0,0;30556;10;0,0;31854;10;2,2;30738;10;-1,9;32361;10;-0,3;20837;7;11,2;27466;9;5,7;28569;9
E01000689;Bromley 002A;E09000006;Bromley;27,5;9455;3;0,2;9795;3;0,1;14071;5;29,9;8616;3;0,1;14807;5;0,9;3943;2;37,0;3123;1;18,1;16071;5
E01000690;Bromley 002B;E09000006;Bromley;9,3;25078;8;0,1;25127;8;0,1;26204;8;3,2;29585;10;-1,2;30288;10;1,0;3354;2;15,5;22467;7;10,7;22784;7
E01000691;Bromley 002C;E09000006;Bromley;13,9;19681;6;0,1;13552;5;0,1;16697;6;12,3;19770;7;-0,4;21326;7;-0,3;21785;7;19,9;16994;6;12,1;21342;7
E01000692;Bromley 002D;E09000006;Bromley;8,1;26640;9;0,1;21968;7;0,0;29686;10;4,5;27970;9;-1,1;29000;9;0,4;10028;4;15,1;22908;7;17,1;16761;6
E01000693;Bromley 010A;E09000006;Bromley;13,1;20571;7;0,1;25810;8;0,0;29661;10;4,0;28627;9;-1,2;30195;10;1,0;3529;2;35,3;3912;2;20,7;14190;5
E01000694;Bromley 007C;E09000006;Bromley;5,2;30120;10;0,0;30818;10;0,0;30240;10;2,1;30871;10;-1,3;30828;10;0,0;16457;6;24,2;11840;4;7,4;26564;9
E01000695;Bromley 007D;E09000006;Bromley;9,0;25469;8;0,1;27529;9;0,0;28994;9;3,0;29818;10;-1,5;31397;10;0,9;4365;2;23,0;13200;5;12,6;20750;7
E01000696;Bromley 007E;E09000006;Bromley;7,2;27789;9;0,0;30716;10;0,0;31039;10;0,8;32255;10;-1,6;31823;10;0,7;6026;2;22,1;14271;5;14,2;19201;6
E01000697;Bromley 007F;E09000006;Bromley;3,7;31573;10;0,0;29617;10;0,0;31662;10;0,6;32476;10;-1,7;31961;10;-0,5;24314;8;21,7;14774;5;8,4;25352;8
E01000698;Bromley 010B;E09000006;Bromley;7,5;27358;9;0,0;29735;10;0,0;29712;10;5,6;26653;9;-1,3;30380;10;0,1;15246;5;31,4;5889;2;7,3;26695;9
E01000699;Bromley 015A;E09000006;Bromley;22,0;12765;4;0,2;10675;4;0,1;14030;5;16,0;16685;6;-0,4;22389;7;0,7;5963;2;25,1;10935;4;31,4;8054;3
E01000700;Bromley 013A;E09000006;Bromley;13,9;19697;6;0,1;14381;5;0,1;16723;6;8,2;23747;8;-0,4;22041;7;-0,1;18845;6;20,7;15899;5;17,2;16725;6
E01000701;Bromley 015B;E09000006;Bromley;13,6;20045;7;0,1;16570;6;0,1;17119;6;7,1;24927;8;-0,7;25852;8;0,0;16096;5;18,9;18129;6;27,5;9959;4
E01000702;Bromley 013B;E09000006;Bromley;12,3;21509;7;0,1;18364;6;0,1;24039;8;6,7;25348;8;-0,8;26772;9;0,4;10000;4;19,6;17258;6;27,1;10152;4
E01000703;Bromley 013C;E09000006;Bromley;12,4;21321;7;0,1;25238;8;0,1;23616;8;1,1;31954;10;-0,8;26788;9;0,6;8043;3;21,0;15567;5;41,5;4258;2
E01000704;Bromley 015C;E09000006;Bromley;13,2;20493;7;0,1;21233;7;0,1;23248;8;9,2;22656;7;-0,7;25551;8;1,0;3790;2;16,1;21629;7;22,9;12702;4
E01000705;Bromley 015D;E09000006;Bromley;19,2;14866;5;0,1;12807;4;0,1;13274;5;5,5;26736;9;-0,4;21607;7;0,7;5819;2;24,5;11581;4;24,7;11583;4
E01000706;Bromley 013D;E09000006;Bromley;16,7;16996;6;0,1;15019;5;0,1;17320;6;11,6;20410;7;-0,3;20342;7;0,5;9690;3;23,2;12991;4;24,0;12020;4
E01000707;Bromley 041A;E09000006;Bromley;3,1;32003;10;0,0;30529;10;0,0;30016;10;1,4;31670;10;-1,4;31010;10;-0,4;23032;8;6,0;31702;10;14,9;18622;6
E01000708;Bromley 041B;E09000006;Bromley;8,9;25608;8;0,1;22584;7;0,1;25194;8;5,1;27190;9;-0,7;25548;8;0,2;13915;5;15,7;22215;7;19,4;15048;5
E01000709;Bromley 006A;E09000006;Bromley;14,9;18692;6;0,1;16758;6;0,1;20387;7;6,3;25843;8;-0,1;17088;6;0,1;14673;5;27,6;8676;3;22,2;13183;5
E01000710;Bromley 006B;E09000006;Bromley;11,7;22202;7;0,1;22746;7;0,0;29725;10;10,7;21240;7;-1,2;30058;10;0,7;6861;3;29,6;7051;3;15,3;18271;6
E01000711;Bromley 006C;E09000006;Bromley;13,0;20705;7;0,1;20117;7;0,1;22931;7;7,8;24212;8;-0,7;25452;8;0,2;13522;5;29,8;6962;3;21,6;13566;5
E01000712;Bromley 012A;E09000006;Bromley;6,8;28289;9;0,1;26302;9;0,0;30802;10;1,3;31721;10;-1,4;31155;10;0,1;14576;5;24,8;11253;4;13,9;19556;6
E01000713;Bromley 012B;E09000006;Bromley;6,9;28139;9;0,1;25215;8;0,0;28537;9;2,0;30923;10;-1,5;31504;10;-0,2;19873;7;26,1;9946;4;12,5;20943;7
E01000714;Bromley 006D;E09000006;Bromley;12,1;21702;7;0,1;24437;8;0,1;26634;9;10,9;21022;7;-1,1;29625;10;0,6;7523;3;21,5;15000;5;33,1;7300;3
E01000715;Bromley 012C;E09000006;Bromley;7,8;26976;9;0,1;27171;9;0,1;27839;9;3,0;29779;10;-1,0;28642;9;0,3;12532;4;21,3;15211;5;19,6;14954;5
E01000716;Bromley 011C;E09000006;Bromley;7,7;27114;9;0,1;24058;8;0,1;26066;8;1,2;31796;10;-0,7;26144;8;0,0;17071;6;22,5;13749;5;12,4;20953;7
E01000717;Bromley 011D;E09000006;Bromley;8,4;26243;8;0,1;21884;7;0,1;26896;9;2,9;29862;10;-1,2;30143;10;-0,4;22629;7;27,7;8598;3;14,7;18775;6
E01000718;Bromley 006E;E09000006;Bromley;30,4;8039;3;0,2;6892;3;0,1;9937;4;23,9;11454;4;-0,5;22763;7;0,4;10259;4;44,5;1102;1;33,8;7030;3
E01000719;Bromley 019A;E09000006;Bromley;28,8;8794;3;0,2;6944;3;0,1;10475;4;23,4;11711;4;-0,2;19378;6;1,3;1578;1;26,2;9847;3;22,3;13082;4
E01000720;Bromley 019B;E09000006;Bromley;48,8;2453;1;0,3;2585;1;0,2;4981;2;49,7;3216;1;0,3;12341;4;1,8;211;1;43,3;1322;1;26,5;10504;4
E01000721;Bromley 019C;E09000006;Bromley;45,8;3015;1;0,3;2301;1;0,2;3255;1;34,7;6968;3;0,8;6553;2;1,3;1284;1;36,2;3486;2;13,1;20273;7
E01000722;Bromley 023A;E09000006;Bromley;22,9;12145;4;0,2;9673;3;0,1;11560;4;31,3;8083;3;-0,4;21351;7;0,6;7362;3;18,0;19326;6;19,6;14961;5
E01000723;Bromley 029A;E09000006;Bromley;13,4;20312;7;0,1;22922;7;0,1;17680;6;20,1;13676;5;-0,6;24029;8;0,0;16185;5;27,2;9023;3;8,8;24943;8
E01000724;Bromley 019D;E09000006;Bromley;39,3;4718;2;0,3;3318;2;0,2;4729;2;36,1;6460;2;0,3;11403;4;0,8;5014;2;41,2;1793;1;8,9;24776;8
E01000725;Bromley 023B;E09000006;Bromley;26,8;9847;3;0,2;7191;3;0,1;10834;4;24,8;10991;4;-0,1;17671;6;0,5;9288;3;31,6;5778;2;23,9;12070;4
E01000726;Bromley 029B;E09000006;Bromley;14,7;18935;6;0,1;19249;6;0,1;19285;6;17,7;15403;5;-0,5;22596;7;0,6;7089;3;19,6;17260;6;16,0;17701;6
E01000727;Bromley 028A;E09000006;Bromley;16,5;17215;6;0,1;16086;5;0,1;17648;6;16,7;16100;5;-0,4;22406;7;0,6;7713;3;23,0;13241;5;17,5;16507;6
E01000728;Bromley 019E;E09000006;Bromley;23,8;11545;4;0,2;10267;4;0,1;12678;4;34,1;7138;3;-0,1;17738;6;0,8;5806;2;23,5;12577;4;13,4;19989;7
E01000729;Bromley 014A;E09000006;Bromley;41,9;3934;2;0,3;2621;1;0,2;3792;2;40,0;5347;2;0,6;8522;3;1,0;3050;1;32,8;5096;2;10,0;23514;8
E01000730;Bromley 014B;E09000006;Bromley;43,0;3654;2;0,3;1952;1;0,2;4016;2;39,1;5584;2;0,4;10049;4;0,9;3945;2;37,6;2920;1;11,0;22459;7
E01000731;Bromley 023C;E09000006;Bromley;25,9;10361;4;0,2;9287;3;0,1;10240;4;32,1;7815;3;-0,3;21106;7;0,4;10024;4;35,6;3744;2;13,2;20231;7
E01000732;Bromley 023D;E09000006;Bromley;12,8;20864;7;0,1;17108;6;0,1;15335;5;11,8;20251;7;-0,7;25608;8;0,0;17187;6;20,2;16504;6;9,1;24595;8
E01000733;Bromley 023E;E09000006;Bromley;22,4;12449;4;0,2;9707;3;0,1;12922;4;21,5;12769;4;-0,2;19852;7;0,9;4354;2;18,7;18364;6;20,7;14135;5
E01000734;Bromley 028B;E09000006;Bromley;11,6;22290;7;0,1;17288;6;0,1;21938;7;13,6;18570;6;-0,9;27501;9;-0,8;27111;9;26,8;9282;3;12,4;21020;7
E01000735;Bromley 014C;E09000006;Bromley;32,5;7132;3;0,2;6703;3;0,2;6573;3;44,8;4207;2;0,2;13924;5;0,7;6773;3;31,1;6093;2;12,4;20963;7
E01000736;Bromley 010C;E09000006;Bromley;27,6;9408;3;0,2;8114;3;0,2;7852;3;30,1;8536;3;-0,2;18650;6;0,4;10384;4;35,5;3820;2;10,5;22967;7
E01000737;Bromley 010D;E09000006;Bromley;33,3;6804;3;0,2;6232;2;0,2;6182;2;30,3;8473;3;0,2;12726;4;1,1;2903;1;32,4;5317;2;12,5;20891;7
E01000738;Bromley 014D;E09000006;Bromley;20,5;13858;5;0,1;12766;4;0,1;14678;5;21,4;12839;4;-0,1;17327;6;0,9;4078;2;22,3;14043;5;10,4;23147;8
E01000739;Bromley 014E;E09000006;Bromley;43,5;3547;2;0,3;2812;1;0,2;3751;2;39,0;5596;2;0,6;8438;3;1,3;1282;1;34,5;4227;2;10,0;23565;8
E01000740;Bromley 005A;E09000006;Bromley;31,6;7472;3;0,2;9896;4;0,1;11604;4;13,7;18426;6;-0,1;17752;6;2,1;79;1;33,7;4634;2;37,6;5501;2
E01000741;Bromley 005B;E09000006;Bromley;32,8;7000;3;0,2;8714;3;0,1;9387;3;21,7;12685;4;0,2;13448;5;1,5;813;1;31,2;6003;2;37,4;5583;2
E01000742;Bromley 005C;E09000006;Bromley;27,2;9590;3;0,2;8054;3;0,1;11940;4;13,4;18680;6;-0,2;19669;6;1,1;2330;1;28,1;8272;3;36,7;5872;2
E01000743;Bromley 009A;E09000006;Bromley;42,1;3906;2;0,3;4738;2;0,2;3585;2;31,2;8117;3;0,8;6465;2;1,2;2007;1;35,8;3649;2;25,6;11025;4
